name,fm./loc.,slat,slon,n,dec,inc,k,alpha95,f_corr,VGP_lat,VGP_lon,K,A95,dp,dm,mean_age,min_age,2sig_min,max_age,2sig_max,uncer_dist,rock_typ_1,rock_typ_2,rock_typ_3,geologic_classes,geologic_types,lithologies,demag,struc_cont,rot_area,polarity,strat_group,ordering,synch_unit,in_study_pole,rej_crit,pmag_ref,age_ref,pmag_comments,age_comments,citations,Study,VGP_lon_recalc,VGP_lat_recalc,inc_reverse,dec_reverse,vgp_lat_SH,vgp_lon_SH,age_uncertainty,keep
R8,Rhyolite flows and intrusives,36.82260822,-105.5341078,8,254.3,84.5,674,2.1,,33.2,241.9,,,,,26.695,25.17,0.04,28.22,0.05,uniform,igneous,volcanic,rhyolite,Igneous:Extrusive,Lava,Rhyolite,AF-TH,0,1,,0,,0,1,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,age range between Tetilla Peak Tuff Ar-Ar age (max age) and youngest postcaldera rhyoliate Ar-Ar age (min age),10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,241.9,33.2,-84.5,74.3,-33.2,61.9,3.05,TRUE
A1,Precaldera andesites and volcaniclastic sediments,36.8941425,-104.9243624,8,145.8,-44.4,188,4.1,,-59.1,334.5,,,,,27.01,25.52,0.06,28.5,0.19,uniform,igneous,volcanic,andesite,Igneous:Extrusive,Lava,Andesite,AF-TH,0,1,,0,,0,1,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,age range between oldest Ar-Ar age on andesite (max age) and oldest age of overlying Amalia Tuff (max age),10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,334.5,-59.1,-44.4,145.8,-59.1,334.5,2.98,TRUE
A2,Precaldera andesites and volcaniclastic sediments,36.70676288,-105.2593398,8,54.5,29.1,223,3.7,,37.5,353.4,,,,,27.01,25.52,0.06,28.5,0.19,uniform,igneous,volcanic,andesite,Igneous:Extrusive,Lava,Andesite,AF-TH,0,1,,0,,0,1,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,age range between oldest Ar-Ar age on andesite (max age) and oldest age of overlying Amalia Tuff (max age),10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,353.4,37.5,-29.1,234.5,-37.5,173.4,2.98,TRUE
A3,Precaldera andesites and volcaniclastic sediments,36.77252676,-105.5090237,6,306.5,43.5,38,11.1,,43.4,166.2,,,,,27.01,25.52,0.06,28.5,0.19,uniform,igneous,volcanic,andesite,Igneous:Extrusive,Lava,Andesite,AF-TH,0,1,,0,,0,1,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,age range between oldest Ar-Ar age on andesite (max age) and oldest age of overlying Amalia Tuff (max age),10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,166.2,43.4,-43.5,126.5,-43.4,346.2,2.98,TRUE
A4,Precaldera andesites and volcaniclastic sediments,36.73372482,-105.4855686,7,156.4,-35.7,154,4.9,,-63.3,311.5,,,,,27.01,25.52,0.06,28.5,0.19,uniform,igneous,volcanic,andesite,Igneous:Extrusive,Lava,Andesite,AF-TH,0,1,,0,,0,1,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,age range between oldest Ar-Ar age on andesite (max age) and oldest age of overlying Amalia Tuff (max age),10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,311.5,-63.3,-35.7,156.4,-63.3,311.5,2.98,TRUE
A5,Precaldera andesites and volcaniclastic sediments,36.80876185,-105.4592748,8,144.3,-65.2,215,3.8,,-61.8,17.6,,,,,27.01,25.52,0.06,28.5,0.19,uniform,igneous,volcanic,andesite,Igneous:Extrusive,Lava,Andesite,AF-TH,0,1,,0,,0,1,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,age range between oldest Ar-Ar age on andesite (max age) and oldest age of overlying Amalia Tuff (max age),10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,17.6,-61.8,-65.2,144.3,-61.8,17.6,2.98,TRUE
A6,Precaldera andesites and volcaniclastic sediments,36.84634177,-105.3625815,9,199.8,-24.6,182,3.8,,-60.2,213,,,,,27.01,25.52,0.06,28.5,0.19,uniform,igneous,volcanic,andesite,Igneous:Extrusive,Lava,Andesite,AF-TH,0,1,,0,,0,1,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,age range between oldest Ar-Ar age on andesite (max age) and oldest age of overlying Amalia Tuff (max age),10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,213,-60.2,-24.6,199.8,-60.2,213,2.98,TRUE
A7,Precaldera andesites and volcaniclastic sediments,36.76391367,-105.6960831,9,13.6,54.7,23,11,,78.9,348.2,,,,,27.01,25.52,0.06,28.5,0.19,uniform,igneous,volcanic,andesite,Igneous:Extrusive,Lava,Andesite,AF-TH,0,1,,0,,0,1,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,age range between oldest Ar-Ar age on andesite (max age) and oldest age of overlying Amalia Tuff (max age),10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,348.2,78.9,-54.7,193.6,-78.9,168.2,2.98,TRUE
A8,Precaldera andesites and volcaniclastic sediments,36.82766718,-105.1080764,7,206.7,-61.2,167,4.7,,-68.8,141.7,,,,,27.01,25.52,0.06,28.5,0.19,uniform,igneous,volcanic,andesite,Igneous:Extrusive,Lava,Andesite,AF-TH,0,1,,0,,0,1,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,age range between oldest Ar-Ar age on andesite (max age) and oldest age of overlying Amalia Tuff (max age),10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,141.7000001,-68.80000002,-61.2,206.7,-68.80000002,141.7000001,2.98,TRUE
A9,Precaldera andesites and volcaniclastic sediments,36.62549014,-105.3982409,9,172,-29,106,5,,-67.7,275.3,,,,,27.01,25.52,0.06,28.5,0.19,uniform,igneous,volcanic,andesite,Igneous:Extrusive,Lava,Andesite,AF-TH,0,1,,0,,0,1,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,age range between oldest Ar-Ar age on andesite (max age) and oldest age of overlying Amalia Tuff (max age),10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,275.3,-67.7,-29,172,-67.7,275.3,2.98,TRUE
A10,Precaldera andesites and volcaniclastic sediments,36.79897082,-105.2402381,8,128.1,-20.6,45,8.4,,-36.6,329.2,,,,,27.01,25.52,0.06,28.5,0.19,uniform,igneous,volcanic,andesite,Igneous:Extrusive,Lava,Andesite,AF-TH,0,1,,0,,0,1,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,age range between oldest Ar-Ar age on andesite (max age) and oldest age of overlying Amalia Tuff (max age),10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,329.2,-36.6,-20.6,128.1,-36.6,329.2,2.98,TRUE
A11,Precaldera andesites and volcaniclastic sediments,36.69379058,-105.7004589,6,307.3,57.9,52,9.4,,48.8,183.5,,,,,27.01,25.52,0.06,28.5,0.19,uniform,igneous,volcanic,andesite,Igneous:Extrusive,Lava,Andesite,AF-TH,0,1,,0,,0,1,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,age range between oldest Ar-Ar age on andesite (max age) and oldest age of overlying Amalia Tuff (max age),10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,183.5,48.8,-57.9,127.3,-48.8,3.5,2.98,TRUE
